Dataset,Model,VaR_alpha,Avg_VaR,Avg_ES,CovP,ViolationRate,CRPS,ES_Loss,N,Violations
synthetic_sv_jump_t,"GARCH(2,1)-t",0.025,-0.3139348801158791,-0.4990808302665083,0.0047619047619047,0.0047619047619047,0.0818513770703324,0.0015848552104043,630,3
synthetic_sv_jump_t,"APGARCH/APARCH(2,1)-t",0.025,-0.3075724905248056,-0.488966163561044,0.019047619047619,0.019047619047619,0.081940794444822,0.0031535060350176,630,12
synthetic_sv_jump_t,"Generalized-GARCH(2,2)-t",0.025,-0.3139482787045952,-0.4991021307947526,0.0079365079365079,0.0079365079365079,0.0819543125894383,0.0021751902454816,630,5
synthetic_sv_jump_t,"EGARCH(1,1)-t",0.025,-0.4546658593312804,-0.7228091841375904,0.0,0.0,0.0854750605997828,0.0,630,0
synthetic_sv_jump_t,"EGARCH(2,1)-t",0.025,-0.4505657281954739,-0.7162909633820485,0.0,0.0,0.0861984372432674,0.0,630,0
synthetic_sv_jump_t,REGARCH-t,0.025,-0.90984013687554,-1.4464266307522988,0.003062787136294,0.003062787136294,0.1303773988935576,0.0007527904591658,653,2
synthetic_sv_jump_t,"ARMA(1,1)-REGARCH-t",0.025,-0.9153724583194685,-1.4552216890730494,0.003062787136294,0.003062787136294,0.1308667008890126,0.0006969755653794,653,2
synthetic_sv_jump_t,HAR-RV,0.025,-1.539375302708445,-2.447235884983231,0.010719754977029,0.010719754977029,0.1954473290097871,0.0013198870975899,653,7
synthetic_sv_jump_t,"ARMA(1,1)-RGARCH-t",0.025,-1.6250292826566497,-2.5834050784554625,0.003062787136294,0.003062787136294,0.2065793986170688,0.0002696427121258,653,2
synthetic_sv_jump_t,RGARCH-t,0.025,-2.120476331739312,-3.371046529822687,0.003062787136294,0.003062787136294,0.260380936199832,0.0008089402799762,653,2
synthetic_rough_long_memory,"EGARCH(2,1)-t",0.025,-0.3035637347873519,-0.43948742562017,0.0047619047619047,0.0047619047619047,0.0697361104735217,0.0007646832887837,630,3
synthetic_rough_long_memory,"GARCH(1,2)-t",0.025,-0.3091478935602713,-0.4475719471954621,0.0063492063492063,0.0063492063492063,0.0706839669965867,0.0009996770811302,630,4
synthetic_rough_long_memory,"Generalized-GARCH(2,2)-t",0.025,-0.3091484090110748,-0.4475726934445056,0.0063492063492063,0.0063492063492063,0.070684068873417,0.0009996323793474,630,4
synthetic_rough_long_memory,"Threshold-GARCH(1,1)-t",0.025,-0.278736354903754,-0.4035433386969416,0.0158730158730158,0.0158730158730158,0.0709418195777995,0.0014379409812835,630,10
synthetic_rough_long_memory,"APGARCH/APARCH(1,1)-t",0.025,-0.2942173061866602,-0.4259560403664666,0.0111111111111111,0.0111111111111111,0.0709817311923289,0.0011776922222141,630,7
synthetic_rough_long_memory,"APGARCH/APARCH(2,1)-t",0.025,-0.2942135978224323,-0.4259506715451582,0.0111111111111111,0.0111111111111111,0.0709817458951256,0.0011775592097507,630,7
synthetic_rough_long_memory,"EGARCH(1,1)-t",0.025,-0.3044963835693742,-0.4408376771991537,0.0079365079365079,0.0079365079365079,0.07111389506715,0.0006983787836206,630,5
synthetic_rough_long_memory,"GJR-GARCH(1,1)-t",0.025,-0.3095414500970892,-0.4481417225980585,0.0079365079365079,0.0079365079365079,0.0712148050843057,0.0009299916125879,630,5
synthetic_rough_long_memory,"GARCH(1,1)-t",0.025,-0.3093276365453158,-0.4478321718953127,0.0079365079365079,0.0079365079365079,0.0712166722869526,0.0009431430190076,630,5
synthetic_rough_long_memory,"GARCH(2,1)-t",0.025,-0.3093294878212144,-0.4478348520984645,0.0079365079365079,0.0079365079365079,0.0712167923484589,0.0009431152204156,630,5
synthetic_rough_long_memory,"FIGARCH(1,1)-t",0.025,-0.309429130624742,-0.4479791109613838,0.0079365079365079,0.0079365079365079,0.0712214083795028,0.0009428172808281,630,5
synthetic_rough_long_memory,"ARMA(1,1)-RGARCH-t",0.025,-0.9315288473239882,-1.3486301823507594,0.0,0.0,0.1170997942423343,0.0,653,0
synthetic_rough_long_memory,RGARCH-t,0.025,-1.080505750249533,-1.5643129798676572,0.0,0.0,0.1316911267695246,0.0,653,0
synthetic_rough_long_memory,REGARCH-t,0.025,-1.1994861050914456,-1.736567975628189,0.0,0.0,0.1423601231261011,0.0,653,0
synthetic_rough_long_memory,HAR-RV,0.025,-1.3768539776101127,-1.9933540826233491,0.0,0.0,0.159759002670811,0.0,653,0
synthetic_rough_long_memory,"ARMA(1,1)-REGARCH-t",0.025,-1.5560530556384764,-2.252791335664667,0.0,0.0,0.1775625280451171,0.0,653,0
