Dataset,Model,RMSE,MAE,MAPE,QLIKE,VaR_alpha,Avg_VaR,Avg_ES,CovP,ViolationRate,CRPS,ES_Loss,N,Violations,realized_window,alpha,train_fraction
synthetic_rough_long_memory,"FIGARCH(1,1)-t",0.2757927334779961,0.1568324970490111,83.52508318002208,3.6234435524463273,0.01,-0.3713615036413157,-0.5299583468146042,0.0,0.0,0.0643382576552787,0.0,865,0,10,0.01,0.6
synthetic_rough_long_memory,"Generalized-GARCH(2,2)-t",0.2758359516889875,0.1568490328893856,83.5494374050255,3.653036283014278,0.01,-0.3710624362067016,-0.5295315570647778,0.0,0.0,0.063841896330071,0.0,865,0,10,0.01,0.6
synthetic_rough_long_memory,"GARCH(1,2)-t",0.2758363037513249,0.1568487591447183,83.54871096286193,3.652882652351639,0.01,-0.3710669478500846,-0.5295379954894536,0.0,0.0,0.0638421595142366,0.0,865,0,10,0.01,0.6
synthetic_rough_long_memory,"GJR-GARCH(1,1)-t",0.2762443765403787,0.1569799955312823,83.53241015404417,3.6392304767546624,0.01,-0.3706881871748347,-0.5289974780170564,0.0,0.0,0.0643371594498921,0.0,865,0,10,0.01,0.6
synthetic_rough_long_memory,"EGARCH(2,1)-t",0.2782208611598641,0.1568757578465648,82.61803108612698,3.389700642411304,0.01,-0.3771669536444108,-0.5382431223123001,0.0,0.0,0.0633394335033694,0.0,865,0,10,0.01,0.6
synthetic_rough_long_memory,"EGARCH(1,1)-t",0.2782343697665037,0.1568282394781809,82.48956672324049,3.307200947576531,0.01,-0.3782119754540322,-0.5397344401392203,0.0,0.0,0.0643989665319063,0.0,865,0,10,0.01,0.6
synthetic_rough_long_memory,"APGARCH/APARCH(1,1)-t",0.2788767480272539,0.1583762547205782,84.19138761826311,4.004743833787397,0.01,-0.3601004422656731,-0.5138880395493215,0.0,0.0,0.0642111653959716,0.0,865,0,10,0.01,0.6
synthetic_rough_long_memory,"APGARCH/APARCH(2,1)-t",0.2788784070665858,0.1583769553530218,84.19170298948602,4.005024449729946,0.01,-0.3600947543912082,-0.5138799225621843,0.0,0.0,0.0642112373310814,0.0,865,0,10,0.01,0.6
synthetic_rough_long_memory,"Threshold-GARCH(1,1)-t",0.28476712126158,0.1605370072198936,83.94303081487621,4.547517125733255,0.01,-0.3482911361371056,-0.4970353494035815,0.0034682080924855,0.0034682080924855,0.0642600541546854,0.0005295311719494,865,3,10,0.01,0.6
synthetic_regime_garch,HAR-RV,2.5522533553611604,0.6847238462578628,48.39010279349507,2442730915.63255,0.01,-3.1984336825120163,-5.176385268337389,0.0,0.0,0.3272130365105096,0.0,657,0,10,0.01,0.7
synthetic_regime_garch,Naive-RV,2.612005047789432,0.6289991762974106,26.420751927571423,0.8751419277935659,0.01,-2.9945131861137857,-4.84635777418006,0.0,0.0,0.3125056407368979,0.0,657,0,10,0.01,0.7
